Bands,Genres
Sonic Syndicate,"['Metalcore', 'Alternative Metal', 'Melodic Death Metal']"
Stick To Your Guns,"['Hardcore Punk', 'Melodic Hardcore', 'Metalcore']"
Swallow The Sun,"['Death-doom', 'Melodic Death Metal']"
Trivium,"['Heavy Metal', 'Thrash Metal', 'Metalcore', 'Progressive Metal']"
Turisas,"['Folk Metal', 'Power Metal', 'Symphonic Metal', 'Viking Metal']"
We Came As Romans,"['Metalcore', 'Post-hardcore']"
While She Sleeps,['Metalcore']
Wintersun,"['Power Metal', 'Folk Metal', 'Neoclassical Metal', 'Melodic Death Metal', 'Black Metal']"
Within Temptation,"['Symphonic Metal', 'Gothic Metal', 'Doom Metal']"
Wolfheart,[]
